date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
7/1/2020,Africa,13227,259,418128,10405,82349,1550,150599,3187
7/2/2020,Africa,14193,238,432321,10643,84592,1574,156538,3224
7/3/2020,Africa,15159,239,447480,10882,88174,1600,161871,3200
7/4/2020,Africa,15507,201,462987,11083,91397,1599,166048,3165
7/5/2020,Africa,13640,280,476627,11363,94390,1700,170246,3248
7/6/2020,Africa,13717,249,490344,11612,97059,1733,174974,3274
7/7/2020,Africa,17474,365,507818,11977,102917,1831,183397,3357
7/8/2020,Africa,14726,255,522544,12232,104416,1827,186765,3377
7/9/2020,Africa,19212,226,541756,12458,109435,1815,194027,3389
7/10/2020,Africa,17680,310,559436,12768,111956,1886,200130,3486
7/11/2020,Africa,18815,220,578251,12988,115264,1905,206661,3504
7/12/2020,Africa,16694,257,594945,13245,118318,1882,212708,3582
7/13/2020,Africa,16071,218,611016,13463,120672,1851,217731,3584
7/14/2020,Africa,14435,299,625451,13762,117633,1785,220550,3616
7/15/2020,Africa,18051,226,643502,13988,120958,1756,225374,3583
7/16/2020,Africa,20441,370,663943,14358,122187,1900,231622,3715
7/17/2020,Africa,19540,315,683483,14673,124047,1905,236003,3791
7/18/2020,Africa,19015,282,702498,14955,124247,1967,239511,3872
7/19/2020,Africa,18554,214,721052,15169,126107,1924,244425,3806
7/20/2020,Africa,15525,254,736577,15423,125561,1960,246233,3811
7/21/2020,Africa,13864,314,750441,15737,124990,1975,242623,3760
7/22/2020,Africa,19614,708,770055,16445,126553,2457,247511,4213
7/23/2020,Africa,18467,269,788522,16714,124579,2356,246766,4256
7/24/2020,Africa,22111,390,810633,17104,127150,2431,251197,4336
7/25/2020,Africa,18151,417,828784,17521,126286,2566,250533,4533
7/26/2020,Africa,18315,245,847099,17766,126047,2597,252154,4521
7/27/2020,Africa,13428,409,860527,18175,123950,2752,249511,4712
7/28/2020,Africa,13499,322,874026,18497,123585,2760,248575,4735
7/29/2020,Africa,17642,367,891668,18864,121613,2419,248166,4876
7/30/2020,Africa,17407,454,909075,19318,120553,2604,245132,4960
7/31/2020,Africa,19005,364,928080,19682,117447,2578,244597,5009
8/1/2020,Africa,16920,292,945000,19974,116216,2453,242502,5019
8/2/2020,Africa,12749,332,957749,20306,110650,2540,236697,5137
8/3/2020,Africa,10853,321,968602,20627,108075,2452,232025,5204
8/4/2020,Africa,9915,472,978517,21099,104491,2602,228076,5362
8/5/2020,Africa,15374,539,993891,21638,102223,2774,223836,5193
8/6/2020,Africa,14328,431,1008219,22069,99144,2751,219697,5355
8/7/2020,Africa,13492,439,1021711,22508,93631,2826,211078,5404
8/8/2020,Africa,14208,413,1035919,22921,90919,2947,207135,5400
8/9/2020,Africa,12356,358,1048275,23279,90526,2973,201176,5513
8/10/2020,Africa,9132,319,1057407,23598,88805,2971,196880,5423
