dateRep,day,month,year,cases,deaths,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
31/07/2020,31,7,2020,721,13,21.79485145
30/07/2020,30,7,2020,278,9,20.1839449
29/07/2020,29,7,2020,369,6,20.04904139
28/07/2020,28,7,2020,532,6,19.66020188
27/07/2020,27,7,2020,453,10,18.27545708
26/07/2020,26,7,2020,355,6,17.44619731
25/07/2020,25,7,2020,289,6,16.80738954
24/07/2020,24,7,2020,410,5,16.85103479
23/07/2020,23,7,2020,468,2,15.91067801
22/07/2020,22,7,2020,359,3,14.57354622
21/07/2020,21,7,2020,267,1,13.81967369
20/07/2020,20,7,2020,361,4,13.30386618
19/07/2020,19,7,2020,206,2,12.21670264
18/07/2020,18,7,2020,425,3,11.82389538
17/07/2020,17,7,2020,315,2,11.14541011
16/07/2020,16,7,2020,244,3,10.21695658
15/07/2020,15,7,2020,271,0,9.59005206
14/07/2020,14,7,2020,183,0,8.78063103
13/07/2020,13,7,2020,244,1,8.37592052
12/7/2020,12,7,2020,194,1,7.58633824
11/7/2020,11,7,2020,300,0,6.99911122
10/7/2020,10,7,2020,173,0,5.95559294
9/7/2020,9,7,2020,131,0,5.41597892
8/7/2020,8,7,2020,169,0,5.01126841
7/7/2020,7,7,2020,137,2,4.41213814
6/7/2020,6,7,2020,87,0,3.92013713
5/7/2020,5,7,2020,107,0,3.67413662
4/7/2020,4,7,2020,254,0,3.35671661
3/7/2020,3,7,2020,81,0,2.42032758
2/7/2020,2,7,2020,86,0,2.18226257
1/7/2020,1,7,2020,67,0,1.93229431
31/08/2020,31,8,2020,123,11,9.4511808
30/08/2020,30,8,2020,99,17,9.96698832
29/08/2020,29,8,2020,126,11,10.73276409
28/08/2020,28,8,2020,117,23,11.76041138
27/08/2020,27,8,2020,152,24,12.21273489
26/08/2020,26,8,2020,137,8,13.25228542
25/08/2020,25,8,2020,104,15,13.9625127
24/08/2020,24,8,2020,210,17,14.79177247
23/08/2020,23,8,2020,195,13,15.4900965
22/08/2020,22,8,2020,171,9,16.40664678
21/08/2020,21,8,2020,243,13,17.35493906
20/08/2020,20,8,2020,220,12,18.04929533
19/08/2020,19,8,2020,174,17,20.01333164
18/08/2020,18,8,2020,311,25,20.95368842
17/08/2020,17,8,2020,253,17,21.28697943
16/08/2020,16,8,2020,292,4,22.82646648
15/08/2020,15,8,2020,385,14,23.16372524
14/08/2020,14,8,2020,231,9,24.02472702
13/08/2020,13,8,2020,414,21,25.96892458
12/8/2020,12,8,2020,316,18,25.42931056
11/8/2020,11,8,2020,313,18,25.63960132
10/8/2020,10,8,2020,386,17,26.5085386
9/8/2020,9,8,2020,426,12,26.77437786
8/8/2020,8,8,2020,410,11,26.4926676
7/8/2020,7,8,2020,418,8,26.01256983
6/8/2020,6,8,2020,715,15,25.98082783
5/8/2020,5,8,2020,411,11,25.00079355
4/8/2020,4,8,2020,395,13,24.79447054
3/8/2020,3,8,2020,641,8,24.28659853
2/8/2020,2,8,2020,377,4,23.17562849
1/8/2020,1,8,2020,602,7,22.49714322
30/09/2020,30,9,2020,19,7,1.28951879
29/09/2020,29,9,2020,4,3,1.39664804
28/09/2020,28,9,2020,24,2,1.5434548
27/09/2020,27,9,2020,16,1,1.6228098
26/09/2020,26,9,2020,17,8,1.72597131
25/09/2020,25,9,2020,10,2,1.86484256
24/09/2020,24,9,2020,31,5,2.01561706
23/09/2020,23,9,2020,30,3,2.25368207
22/09/2020,22,9,2020,14,2,2.34097257
21/09/2020,21,9,2020,13,5,2.45603733
20/09/2020,20,9,2020,24,7,2.69013459
19/09/2020,19,9,2020,48,5,2.87661884
18/09/2020,18,9,2020,34,8,3.0313611
17/09/2020,17,9,2020,41,8,3.39639411
16/09/2020,16,9,2020,46,0,3.64636237
15/09/2020,15,9,2020,41,6,3.75349162
14/09/2020,14,9,2020,44,7,3.89236287
13/09/2020,13,9,2020,42,6,4.20581513
12/9/2020,12,9,2020,52,9,4.43197689
11/9/2020,11,9,2020,48,7,4.7255904
10/9/2020,10,9,2020,91,11,4.99936516
9/9/2020,9,9,2020,52,8,5.24139792
8/9/2020,8,9,2020,43,9,5.57865668
7/9/2020,7,9,2020,72,5,5.82068944
6/9/2020,6,9,2020,71,11,6.36823895
