dateRep,day,month,year,cases,deaths,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
31/07/2020,31,7,2020,276,0,0.15106881
30/07/2020,30,7,2020,223,2,0.13718945
29/07/2020,29,7,2020,207,1,0.12303111
28/07/2020,28,7,2020,213,4,0.11236004
27/07/2020,27,7,2020,189,0,0.10134025
26/07/2020,26,7,2020,179,2,0.09136664
25/07/2020,25,7,2020,157,1,0.08132329
24/07/2020,24,7,2020,139,1,0.07316306
23/07/2020,23,7,2020,135,0,0.06667672
22/07/2020,22,7,2020,74,2,0.05956268
21/07/2020,21,7,2020,84,0,0.05586617
20/07/2020,20,7,2020,130,0,0.05175118
19/07/2020,19,7,2020,80,1,0.0436607
18/07/2020,18,7,2020,80,1,0.03933648
17/07/2020,17,7,2020,77,0,0.03438455
16/07/2020,16,7,2020,20,2,0.02999058
15/07/2020,15,7,2020,54,0,0.03075778
14/07/2020,14,7,2020,55,1,0.02734025
13/07/2020,13,7,2020,46,0,0.02510839
12/7/2020,12,7,2020,35,0,0.02287653
11/7/2020,11,7,2020,40,0,0.02169086
10/7/2020,10,7,2020,46,0,0.02057493
9/7/2020,9,7,2020,33,0,0.01931951
8/7/2020,8,7,2020,21,0,0.01841282
7/7/2020,7,7,2020,25,0,0.01897078
6/7/2020,6,7,2020,14,0,0.02085391
5/7/2020,5,7,2020,18,0,0.02120264
4/7/2020,4,7,2020,9,0,0.02196984
3/7/2020,3,7,2020,14,0,0.0234345
2/7/2020,2,7,2020,31,0,0.0249689
1/7/2020,1,7,2020,5,0,0.02531763
31/08/2020,31,8,2020,32,1,0.03626767
30/08/2020,30,8,2020,27,3,0.04073139
29/08/2020,29,8,2020,22,3,0.04338172
28/08/2020,28,8,2020,30,2,0.0467295
27/08/2020,27,8,2020,32,1,0.05154194
26/08/2020,26,8,2020,34,1,0.05495948
25/08/2020,25,8,2020,23,0,0.05663337
24/08/2020,24,8,2020,41,0,0.06291047
23/08/2020,23,8,2020,38,0,0.06849011
22/08/2020,22,8,2020,49,2,0.07225637
21/08/2020,21,8,2020,40,3,0.0772083
20/08/2020,20,8,2020,33,1,0.08362489
19/08/2020,19,8,2020,53,2,0.08983224
18/08/2020,18,8,2020,66,0,0.0935985
17/08/2020,17,8,2020,96,0,0.09694628
16/08/2020,16,8,2020,65,2,0.10127051
15/08/2020,15,8,2020,70,1,0.10873328
14/08/2020,14,8,2020,99,3,0.11542885
13/08/2020,13,8,2020,81,4,0.12777381
12/8/2020,12,8,2020,58,3,0.13767767
11/8/2020,11,8,2020,113,4,0.14806976
