dateRep,day,month,year,cases,deaths,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
31/07/2020,31,7,2020,11046,315,269.7279276
30/07/2020,30,7,2020,11362,240,273.3584995
29/07/2020,29,7,2020,7232,190,275.7407421
28/07/2020,28,7,2020,7096,298,281.3146776
27/07/2020,27,7,2020,11233,114,288.9276078
26/07/2020,26,7,2020,12204,312,290.336461
25/07/2020,25,7,2020,13944,250,292.5445181
24/07/2020,24,7,2020,13104,153,289.8190276
23/07/2020,23,7,2020,13150,572,290.7924171
22/07/2020,22,7,2020,8170,195,283.3809956
21/07/2020,21,7,2020,9300,140,286.7349199
20/07/2020,20,7,2020,13449,85,286.1730864
19/07/2020,19,7,2020,13285,144,278.1878774
18/07/2020,18,7,2020,13373,135,274.034749
17/07/2020,17,7,2020,13172,216,266.6745585
16/07/2020,16,7,2020,12757,107,259.0855361
15/07/2020,15,7,2020,10496,174,251.1737583
14/07/2020,14,7,2020,11554,93,245.1097127
13/07/2020,13,7,2020,12058,108,235.8471435
12/7/2020,12,7,2020,13497,111,226.0722641
11/7/2020,11,7,2020,12348,140,215.3359491
10/7/2020,10,7,2020,13674,118,204.86262
9/7/2020,9,7,2020,8810,100,192.7464828
8/7/2020,8,7,2020,10134,192,187.4150408
7/7/2020,7,7,2020,8971,111,177.8245931
6/7/2020,6,7,2020,8773,173,169.8274302
5/7/2020,5,7,2020,10853,74,162.7370564
4/7/2020,4,7,2020,9063,108,152.6838217
3/7/2020,3,7,2020,8728,95,143.7388849
2/7/2020,2,7,2020,8124,92,134.7734556
1/7/2020,1,7,2020,6945,128,127.8640982
31/08/2020,31,8,2020,2505,47,64.39910525
30/08/2020,30,8,2020,2428,238,66.42614612
29/08/2020,29,8,2020,1837,115,69.9867023
28/08/2020,28,8,2020,2585,126,77.5654785
27/08/2020,27,8,2020,2684,194,79.8896593
26/08/2020,26,8,2020,1567,149,80.10482961
25/08/2020,25,8,2020,1677,100,81.71689917
24/08/2020,24,8,2020,2728,72,85.23988594
23/08/2020,23,8,2020,3707,144,91.97164254
22/08/2020,22,8,2020,3398,225,98.81098428
21/08/2020,21,8,2020,3880,195,105.4607712
20/08/2020,20,8,2020,3916,159,113.0207627
19/08/2020,19,8,2020,2258,282,120.9496176
18/08/2020,18,8,2020,2541,143,124.703144
17/08/2020,17,8,2020,3692,162,129.5461835
16/08/2020,16,8,2020,4513,121,137.2359602
