date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
1/1/2021,Australia,35,0,28460,909,163,1,334,1
1/2/2021,Australia,24,0,28484,909,176,1,316,1
1/3/2021,Australia,20,0,28504,909,167,0,306,1
1/4/2021,Australia,13,0,28517,909,168,0,298,1
1/5/2021,Australia,19,0,28536,909,155,0,299,1
1/6/2021,Australia,10,0,28546,909,141,0,284,1
1/7/2021,Australia,25,0,28571,909,146,0,297,1
1/8/2021,Australia,11,0,28582,909,122,0,285,1
1/9/2021,Australia,13,0,28595,909,111,0,287,1
1/10/2021,Australia,19,0,28614,909,110,0,277,0
1/11/2021,Australia,20,0,28634,909,117,0,285,0
1/12/2021,Australia,16,0,28650,909,114,0,269,0
1/13/2021,Australia,10,0,28660,909,114,0,255,0
1/14/2021,Australia,9,0,28669,909,98,0,244,0
1/15/2021,Australia,20,0,28689,909,107,0,229,0
1/16/2021,Australia,19,0,28708,909,113,0,224,0
1/17/2021,Australia,13,0,28721,909,107,0,217,0
1/18/2021,Australia,10,0,28731,909,97,0,214,0
1/19/2021,Australia,9,0,28740,909,90,0,204,0
1/20/2021,Australia,9,0,28749,909,89,0,203,0
1/21/2021,Australia,6,0,28755,909,86,0,184,0
1/22/2021,Australia,5,0,28760,909,71,0,178,0
1/23/2021,Australia,6,0,28766,909,58,0,171,0
1/24/2021,Australia,11,0,28777,909,56,0,163,0
1/25/2021,Australia,3,0,28780,909,49,0,146,0
1/26/2021,Australia,6,0,28786,909,46,0,136,0
1/27/2021,Australia,8,0,28794,909,45,0,134,0
1/28/2021,Australia,5,0,28799,909,44,0,130,0
1/29/2021,Australia,7,0,28806,909,46,0,117,0
1/30/2021,Australia,5,0,28811,909,45,0,103,0
1/31/2021,Australia,7,0,28818,909,41,0,97,0
2/1/2021,Australia,5,0,28823,909,43,0,92,0
2/2/2021,Australia,6,0,28829,909,43,0,89,0
2/3/2021,Australia,9,0,28838,909,44,0,89,0
2/4/2021,Australia,4,0,28842,909,43,0,87,0
2/5/2021,Australia,6,0,28848,909,42,0,88,0
2/6/2021,Australia,3,0,28851,909,40,0,85,0
2/7/2021,Australia,6,0,28857,909,39,0,80,0
2/8/2021,Australia,3,0,28860,909,37,0,80,0
2/9/2021,Australia,11,0,28871,909,42,0,85,0
2/10/2021,Australia,8,0,28879,909,41,0,85,0
2/11/2021,Australia,8,0,28887,909,45,0,88,0
2/12/2021,Australia,5,0,28892,909,44,0,86,0
2/13/2021,Australia,6,0,28898,909,47,0,87,0
2/14/2021,Australia,2,0,28900,909,43,0,82,0
2/15/2021,Australia,5,0,28905,909,45,0,82,0
2/16/2021,Australia,6,0,28911,909,40,0,82,0
2/17/2021,Australia,1,0,28912,909,33,0,74,0
2/18/2021,Australia,6,0,28918,909,31,0,76,0
2/19/2021,Australia,2,0,28920,909,28,0,72,0
2/20/2021,Australia,6,0,28926,909,28,0,75,0
2/21/2021,Australia,4,0,28930,909,30,0,73,0
2/22/2021,Australia,7,0,28937,909,32,0,77,0
2/23/2021,Australia,2,0,28939,909,28,0,68,0
