date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
7/1/2020,Australia,81,0,8001,104,443,0,610,2
7/2/2020,Australia,65,0,8066,104,471,0,657,2
7/3/2020,Australia,194,0,8260,104,659,0,849,2
7/4/2020,Australia,183,0,8443,104,757,0,982,2
7/5/2020,Australia,140,2,8583,106,819,2,1109,4
7/6/2020,Australia,172,0,8755,106,921,2,1263,4
7/7/2020,Australia,131,0,8886,106,966,2,1365,3
7/8/2020,Australia,170,0,9056,106,1055,2,1498,2
7/9/2020,Australia,318,0,9374,106,1308,2,1779,2
7/10/2020,Australia,179,1,9553,107,1293,3,1952,3
7/11/2020,Australia,244,1,9797,108,1354,4,2111,4
7/12/2020,Australia,183,0,9980,108,1397,2,2216,4
7/13/2020,Australia,271,0,10251,108,1496,2,2417,4
7/14/2020,Australia,236,3,10487,111,1601,5,2567,7
7/15/2020,Australia,323,2,10810,113,1754,7,2809,9
7/16/2020,Australia,423,3,11233,116,1859,10,3167,12
7/17/2020,Australia,208,2,11441,118,1888,11,3181,14
7/18/2020,Australia,361,4,11802,122,2005,14,3359,18
7/19/2020,Australia,267,1,12069,123,2089,15,3486,17
7/20/2020,Australia,359,3,12428,126,2177,18,3673,20
7/21/2020,Australia,466,2,12894,128,2407,17,4008,22
7/22/2020,Australia,408,5,13302,133,2492,20,4246,27
7/23/2020,Australia,293,6,13595,139,2362,23,4221,33
7/24/2020,Australia,355,6,13950,145,2509,27,4397,38
7/25/2020,Australia,453,10,14403,155,2601,33,4606,47
7/26/2020,Australia,532,6,14935,161,2866,38,4955,53
7/27/2020,Australia,368,6,15303,167,2875,41,5052,59
7/28/2020,Australia,279,9,15582,176,2688,48,5095,65
7/29/2020,Australia,716,13,16298,189,2996,56,5488,76
7/30/2020,Australia,605,7,16903,196,3308,57,5670,80
7/31/2020,Australia,377,5,17280,201,3330,56,5839,83
8/1/2020,Australia,615,7,17895,208,3492,53,6093,86
8/2/2020,Australia,423,13,18318,221,3383,60,6249,98
8/3/2020,Australia,412,11,18730,232,3427,65,6302,106
8/4/2020,Australia,715,15,19445,247,3863,71,6551,119
8/5/2020,Australia,445,8,19890,255,3592,66,6588,122
8/6/2020,Australia,382,11,20272,266,3369,70,6677,127
8/7/2020,Australia,426,12,20698,278,3418,77,6748,133
8/8/2020,Australia,386,17,21084,295,3189,87,6681,140
8/9/2020,Australia,313,18,21397,313,3079,92,6462,152
8/10/2020,Australia,316,18,21713,331,2983,99,6410,164
8/11/2020,Australia,414,21,22127,352,2682,105,6545,176
8/12/2020,Australia,231,9,22358,361,2468,106,6060,172
8/13/2020,Australia,384,14,22742,375,2470,109,5839,179
8/14/2020,Australia,293,4,23035,379,2337,101,5755,178
8/15/2020,Australia,252,17,23287,396,2203,101,5392,188
8/16/2020,Australia,271,25,23558,421,2161,108,5240,200
8/17/2020,Australia,215,17,23773,438,2060,107,5043,206
8/18/2020,Australia,216,12,23989,450,1862,98,4544,203
8/19/2020,Australia,247,13,24236,463,1878,102,4346,208
8/20/2020,Australia,171,9,24407,472,1665,97,4135,206
8/21/2020,Australia,195,13,24602,485,1567,106,3904,207
8/22/2020,Australia,209,17,24811,502,1524,106,3727,207
