date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
7/1/2020,South Korea,54,0,12904,282,341,0,647,2
7/2/2020,South Korea,63,0,12967,282,365,0,661,2
7/3/2020,South Korea,63,1,13030,283,377,1,657,3
7/4/2020,South Korea,61,0,13091,283,376,1,670,3
7/5/2020,South Korea,46,1,13137,284,380,2,699,4
7/6/2020,South Korea,44,1,13181,285,381,3,697,4
7/7/2020,South Korea,63,0,13244,285,394,3,709,4
7/8/2020,South Korea,49,2,13293,287,389,5,730,5
7/9/2020,South Korea,45,1,13338,288,371,6,736,6
7/10/2020,South Korea,35,0,13373,288,343,5,720,6
7/11/2020,South Korea,44,1,13417,289,326,6,702,7
7/12/2020,South Korea,62,0,13479,289,342,5,722,7
7/13/2020,South Korea,33,0,13512,289,331,4,712,7
7/14/2020,South Korea,39,0,13551,289,307,4,701,7
7/15/2020,South Korea,61,2,13612,291,319,4,708,9
7/16/2020,South Korea,60,2,13672,293,334,5,705,11
7/17/2020,South Korea,39,1,13711,294,338,6,681,11
7/18/2020,South Korea,34,1,13745,295,328,6,654,12
7/19/2020,South Korea,26,1,13771,296,292,7,634,12
7/20/2020,South Korea,45,0,13816,296,304,7,635,11
7/21/2020,South Korea,63,1,13879,297,328,8,635,12
7/22/2020,South Korea,59,0,13938,297,326,6,645,10
7/23/2020,South Korea,41,1,13979,298,307,5,641,10
7/24/2020,South Korea,113,0,14092,298,381,4,719,10
7/25/2020,South Korea,58,0,14150,298,405,3,733,9
7/26/2020,South Korea,25,1,14175,299,404,3,696,10
7/27/2020,South Korea,28,1,14203,300,387,4,691,11
7/28/2020,South Korea,48,0,14251,300,372,3,700,11
7/29/2020,South Korea,18,0,14269,300,331,3,657,9
7/30/2020,South Korea,36,1,14305,301,326,3,633,8
7/31/2020,South Korea,31,0,14336,301,244,3,625,7
8/1/2020,South Korea,30,0,14366,301,216,3,621,6
8/2/2020,South Korea,23,0,14389,301,214,2,618,5
8/3/2020,South Korea,34,0,14423,301,220,1,607,5
8/4/2020,South Korea,33,1,14456,302,205,2,577,5
8/5/2020,South Korea,43,0,14499,302,230,2,561,5
8/6/2020,South Korea,20,1,14519,303,214,2,540,5
8/7/2020,South Korea,43,1,14562,304,226,3,470,6
8/8/2020,South Korea,36,1,14598,305,232,4,448,7
8/9/2020,South Korea,28,0,14626,305,237,4,451,6
8/10/2020,South Korea,34,0,14660,305,237,4,457,5
8/11/2020,South Korea,54,0,14714,305,258,3,463,5
8/12/2020,South Korea,56,0,14770,305,271,3,501,5
8/13/2020,South Korea,103,0,14873,305,354,2,568,4
8/14/2020,South Korea,166,0,15039,305,477,1,703,4
8/15/2020,South Korea,279,0,15318,305,720,0,952,4
8/16/2020,South Korea,197,0,15515,305,889,0,1126,4
8/17/2020,South Korea,246,1,15761,306,1101,1,1338,5
8/18/2020,South Korea,297,0,16058,306,1344,1,1602,4
8/19/2020,South Korea,288,1,16346,307,1576,2,1847,5
8/20/2020,South Korea,324,2,16670,309,1797,4,2151,6
8/21/2020,South Korea,332,0,17002,309,1963,4,2440,5
8/22/2020,South Korea,397,0,17399,309,2081,4,2801,4
8/23/2020,South Korea,266,0,17665,309,2150,4,3039,4
8/24/2020,South Korea,280,1,17945,310,2184,4,3285,5
8/25/2020,South Korea,320,2,18265,312,2207,6,3551,7
8/26/2020,South Korea,441,1,18706,313,2360,6,3936,8
8/27/2020,South Korea,371,3,19077,316,2407,7,4204,11
8/28/2020,South Korea,323,5,19400,321,2398,12,4361,16
8/29/2020,South Korea,299,2,19699,323,2300,14,4381,18
8/30/2020,South Korea,248,1,19947,324,2282,15,4432,19
8/31/2020,South Korea,235,0,20182,324,2237,14,4421,18
9/1/2020,South Korea,267,2,20449,326,2184,14,4391,20
9/2/2020,South Korea,195,3,20644,329,1938,16,4298,22
9/3/2020,South Korea,198,2,20842,331,1765,15,4172,22
9/4/2020,South Korea,168,2,21010,333,1610,12,4008,24
9/5/2020,South Korea,167,1,21177,334,1478,11,3778,25
9/6/2020,South Korea,119,2,21296,336,1349,12,3631,27
9/7/2020,South Korea,136,5,21432,341,1250,17,3487,31
9/8/2020,South Korea,156,3,21588,344,1139,18,3323,32
9/9/2020,South Korea,155,2,21743,346,1099,17,3037,33
9/10/2020,South Korea,176,4,21919,350,1077,19,2842,34
9/11/2020,South Korea,136,5,22055,355,1045,22,2655,34
9/12/2020,South Korea,121,3,22176,358,999,24,2477,35
9/13/2020,South Korea,109,5,22285,363,989,27,2338,39
9/14/2020,South Korea,106,4,22391,367,959,26,2209,43
9/15/2020,South Korea,113,0,22504,367,916,23,2055,41
9/16/2020,South Korea,153,5,22657,372,914,26,2013,43
9/17/2020,South Korea,126,5,22783,377,864,27,1941,46
9/18/2020,South Korea,110,1,22893,378,838,23,1883,45
9/19/2020,South Korea,82,5,22975,383,799,25,1798,49
9/20/2020,South Korea,70,2,23045,385,760,22,1749,49
9/21/2020,South Korea,61,3,23106,388,715,21,1674,47
9/22/2020,South Korea,110,0,23216,388,712,21,1628,44
9/23/2020,South Korea,125,5,23341,393,684,21,1598,47
9/24/2020,South Korea,114,2,23455,395,672,18,1536,45
9/25/2020,South Korea,61,4,23516,399,623,21,1461,44
9/26/2020,South Korea,95,2,23611,401,636,18,1435,43
9/27/2020,South Korea,50,5,23661,406,616,21,1376,43
9/28/2020,South Korea,38,1,23699,407,593,19,1308,40
9/29/2020,South Korea,113,6,23812,413,596,25,1308,46
9/30/2020,South Korea,77,2,23889,415,548,22,1232,43
10/1/2020,South Korea,63,1,23952,416,497,21,1169,39
10/2/2020,South Korea,75,4,24027,420,511,21,1134,42
10/3/2020,South Korea,64,1,24091,421,480,20,1116,38
10/4/2020,South Korea,73,1,24164,422,503,16,1119,37
10/5/2020,South Korea,75,0,24239,422,540,15,1133,34
10/6/2020,South Korea,114,3,24353,425,541,12,1137,37
10/7/2020,South Korea,69,2,24422,427,533,12,1081,34
10/8/2020,South Korea,54,1,24476,428,524,12,1021,33
10/9/2020,South Korea,72,2,24548,430,521,10,1032,31
10/10/2020,South Korea,58,2,24606,432,515,11,995,31
10/11/2020,South Korea,97,1,24703,433,539,11,1042,27
10/12/2020,South Korea,102,1,24805,434,566,12,1106,27
10/13/2020,South Korea,84,4,24889,438,536,13,1077,25
10/14/2020,South Korea,99,1,24988,439,566,12,1099,24
10/15/2020,South Korea,47,2,25035,441,559,13,1083,25
10/16/2020,South Korea,73,2,25108,443,560,13,1081,23
10/17/2020,South Korea,91,1,25199,444,593,12,1108,23
10/18/2020,South Korea,76,0,25275,444,572,11,1111,22
10/19/2020,South Korea,58,3,25333,447,528,13,1094,25
10/20/2020,South Korea,91,3,25424,450,535,12,1071,25
10/21/2020,South Korea,119,3,25543,453,555,14,1121,26
10/22/2020,South Korea,155,2,25698,455,663,14,1222,27
10/23/2020,South Korea,77,2,25775,457,667,14,1227,27
10/24/2020,South Korea,61,0,25836,457,637,13,1230,25
10/25/2020,South Korea,119,0,25955,457,680,13,1252,24
10/26/2020,South Korea,88,3,26043,460,710,13,1238,26
10/27/2020,South Korea,103,1,26146,461,722,11,1257,23
10/28/2020,South Korea,125,1,26271,462,728,9,1283,23
10/29/2020,South Korea,114,1,26385,463,687,8,1350,22
10/30/2020,South Korea,126,1,26511,464,736,7,1403,21
10/31/2020,South Korea,124,2,26635,466,799,9,1436,22
11/1/2020,South Korea,97,2,26732,468,777,11,1457,24
11/2/2020,South Korea,75,4,26807,472,764,12,1474,25
11/3/2020,South Korea,118,2,26925,474,779,13,1501,24
11/4/2020,South Korea,125,1,27050,475,779,13,1507,22
11/5/2020,South Korea,145,1,27195,476,810,13,1497,21
11/6/2020,South Korea,89,1,27284,477,773,13,1509,20
11/7/2020,South Korea,143,1,27427,478,792,12,1591,21
11/8/2020,South Korea,126,2,27553,480,821,12,1598,23
11/9/2020,South Korea,100,5,27653,485,846,13,1610,25
11/10/2020,South Korea,146,2,27799,487,874,13,1653,26
11/11/2020,South Korea,143,0,27942,487,892,12,1671,25
11/12/2020,South Korea,191,1,28133,488,938,12,1748,25
11/13/2020,South Korea,205,4,28338,492,1054,15,1827,28
11/14/2020,South Korea,208,1,28546,493,1119,15,1911,27
11/15/2020,South Korea,223,1,28769,494,1216,14,2037,26
11/16/2020,South Korea,229,0,28998,494,1345,9,2191,22
11/17/2020,South Korea,313,2,29311,496,1512,9,2386,22
11/18/2020,South Korea,343,2,29654,498,1712,11,2604,23
11/19/2020,South Korea,363,3,30017,501,1884,13,2822,25
11/20/2020,South Korea,386,2,30403,503,2065,11,3119,26
11/21/2020,South Korea,330,2,30733,505,2187,12,3306,27
11/22/2020,South Korea,271,4,31004,509,2235,15,3451,29
11/23/2020,South Korea,349,1,31353,510,2355,16,3700,25
11/24/2020,South Korea,382,3,31735,513,2424,17,3936,26
11/25/2020,South Korea,583,2,32318,515,2664,17,4376,28
11/26/2020,South Korea,569,1,32887,516,2870,15,4754,28
11/27/2020,South Korea,488,6,33375,522,2972,19,5037,30
11/28/2020,South Korea,449,1,33824,523,3091,18,5278,30
11/29/2020,South Korea,377,3,34201,526,3197,17,5432,32
11/30/2020,South Korea,451,0,34652,526,3299,16,5654,32
12/1/2020,South Korea,511,0,35163,526,3428,13,5852,30
12/2/2020,South Korea,540,3,35703,529,3385,14,6049,31
12/3/2020,South Korea,629,7,36332,536,3445,20,6315,35
12/4/2020,South Korea,583,4,36915,540,3540,18,6512,37
12/5/2020,South Korea,631,5,37546,545,3722,22,6813,40
12/6/2020,South Korea,615,4,38161,549,3960,23,7157,40
12/7/2020,South Korea,594,3,38755,552,4103,26,7402,42
12/8/2020,South Korea,677,4,39432,556,4269,30,7697,43
12/9/2020,South Korea,666,8,40098,564,4395,35,7780,49
12/10/2020,South Korea,688,8,40786,572,4454,36,7899,56
