date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
7/1/2020,South Africa,8124,92,159333,2749,47537,544,78921,1075
7/2/2020,South Africa,8728,95,168061,2844,49686,552,84171,1107
7/3/2020,South Africa,9063,108,177124,2952,52534,612,89409,1121
7/4/2020,South Africa,10853,74,187977,3026,56177,613,95296,1149
7/5/2020,South Africa,8773,173,196750,3199,58616,743,99448,1269
7/6/2020,South Africa,8971,111,205721,3310,61457,781,104131,1319
7/7/2020,South Africa,10134,192,215855,3502,64646,845,109747,1400
7/8/2020,South Africa,8810,100,224665,3602,65332,853,112869,1397
7/9/2020,South Africa,13674,118,238339,3720,70278,876,119964,1428
7/10/2020,South Africa,12348,140,250687,3860,73563,908,126097,1520
7/11/2020,South Africa,13497,111,264184,3971,76207,945,132384,1558
7/12/2020,South Africa,12058,108,276242,4079,79492,880,138108,1623
7/13/2020,South Africa,11554,93,287796,4172,82075,862,143532,1643
7/14/2020,South Africa,10496,174,298292,4346,82437,844,147083,1689
7/15/2020,South Africa,12757,107,311049,4453,86384,851,151716,1704
7/16/2020,South Africa,13172,216,324221,4669,85882,949,156160,1825
7/17/2020,South Africa,13373,135,337594,4804,86907,944,160470,1852
7/18/2020,South Africa,13285,144,350879,4948,86695,977,162902,1922
7/19/2020,South Africa,13449,85,364328,5033,88086,954,167578,1834
7/20/2020,South Africa,9300,140,373628,5173,85832,1001,167907,1863
7/21/2020,South Africa,8170,195,381798,5368,83506,1022,165943,1866
7/22/2020,South Africa,13150,572,394948,5940,83899,1487,170283,2338
7/23/2020,South Africa,13104,153,408052,6093,83831,1424,169713,2373
7/24/2020,South Africa,13944,250,421996,6343,84402,1539,171309,2483
7/25/2020,South Africa,12204,312,434200,6655,83321,1707,170016,2684
7/26/2020,South Africa,11233,114,445433,6769,81105,1736,169191,2690
7/27/2020,South Africa,7096,298,452529,7067,78901,1894,164733,2895
7/28/2020,South Africa,7232,190,459761,7257,77963,1889,161469,2911
7/29/2020,South Africa,11362,240,471123,7497,76175,1557,160074,3044
7/30/2020,South Africa,11046,315,482169,7812,74117,1719,157948,3143
7/31/2020,South Africa,11014,193,493183,8005,71187,1662,155589,3201
8/1/2020,South Africa,10107,148,503290,8153,69090,1498,152411,3205
8/2/2020,South Africa,8195,213,511485,8366,66052,1597,147157,3333
8/3/2020,South Africa,5377,173,516862,8539,64333,1472,143234,3366
8/4/2020,South Africa,4456,345,521318,8884,61557,1627,139520,3516
8/5/2020,South Africa,8559,414,529877,9298,58754,1801,134929,3358
8/6/2020,South Africa,8307,306,538184,9604,56015,1792,130132,3511
8/7/2020,South Africa,7292,305,545476,9909,52293,1904,123480,3566
8/8/2020,South Africa,7712,301,553188,10210,49898,2057,118988,3555
8/9/2020,South Africa,6671,198,559859,10408,48374,2042,114426,3639
8/10/2020,South Africa,3739,213,563598,10621,46736,2082,111069,3554
8/11/2020,South Africa,2511,130,566109,10751,44791,1867,106348,3494
8/12/2020,South Africa,2810,259,568919,11010,39042,1712,97796,3513
8/13/2020,South Africa,3946,260,572865,11270,34681,1666,90696,3458
8/14/2020,South Africa,6275,286,579140,11556,33664,1647,85957,3551
8/15/2020,South Africa,4513,121,583653,11677,30465,1467,80363,3524
8/16/2020,South Africa,3692,162,587345,11839,27486,1431,75860,3473
8/17/2020,South Africa,2541,143,589886,11982,26288,1361,73024,3443
8/18/2020,South Africa,2258,282,592144,12264,26035,1513,70826,3380
8/19/2020,South Africa,3916,159,596060,12423,27141,1413,66183,3125
8/20/2020,South Africa,3880,195,599940,12618,27075,1348,61756,3014
8/21/2020,South Africa,3398,225,603338,12843,24198,1287,57862,2934
8/22/2020,South Africa,3707,144,607045,12987,23392,1310,53857,2777
8/23/2020,South Africa,2728,72,609773,13059,22428,1220,49914,2651
8/24/2020,South Africa,1677,100,611450,13159,21564,1177,47852,2538
8/25/2020,South Africa,1567,149,613017,13308,20873,1044,46908,2557
8/26/2020,South Africa,2684,194,615701,13502,19641,1079,46782,2492
8/27/2020,South Africa,2585,126,618286,13628,18346,1010,45421,2358
8/28/2020,South Africa,1846,115,620132,13743,16794,900,40992,2187
8/29/2020,South Africa,2419,238,622551,13981,15506,994,38898,2304
8/30/2020,South Africa,2505,47,625056,14028,15283,969,37711,2189
8/31/2020,South Africa,1985,121,627041,14149,15591,990,37155,2167
9/1/2020,South Africa,1218,114,628259,14263,15242,955,36115,1999
9/2/2020,South Africa,2336,126,630595,14389,14894,887,34535,1966
9/3/2020,South Africa,2420,174,633015,14563,14729,935,33075,1945
9/4/2020,South Africa,2063,115,635078,14678,14946,935,31740,1835
9/5/2020,South Africa,1806,101,636884,14779,14333,798,29839,1792
9/6/2020,South Africa,1633,110,638517,14889,13461,861,28744,1830
9/7/2020,South Africa,845,115,639362,15004,12321,855,27912,1845
9/8/2020,South Africa,1079,82,640441,15086,12182,823,27424,1778
9/9/2020,South Africa,1990,82,642431,15168,11836,779,26730,1666
9/10/2020,South Africa,2007,97,644438,15265,11423,702,26152,1637
9/11/2020,South Africa,1960,113,646398,15378,11320,700,26266,1635
9/12/2020,South Africa,1816,49,648214,15427,11330,648,25663,1446
9/13/2020,South Africa,1579,20,649793,15447,11276,558,24737,1419
9/14/2020,South Africa,956,52,650749,15499,11387,495,23708,1350
9/15/2020,South Africa,772,142,651521,15641,11080,555,23262,1378
9/16/2020,South Africa,1923,64,653444,15705,11013,537,22849,1316
9/17/2020,South Africa,2128,67,655572,15772,11134,507,22557,1209
9/18/2020,South Africa,2055,85,657627,15857,11229,479,22549,1179
9/19/2020,South Africa,2029,83,659656,15940,11442,513,22772,1161
9/20/2020,South Africa,1555,13,661211,15953,11418,506,22694,1064
9/21/2020,South Africa,725,39,661936,15992,11187,493,22574,988
9/22/2020,South Africa,1346,126,663282,16118,11761,477,22841,1032
9/23/2020,South Africa,1906,88,665188,16206,11744,501,22757,1038
9/24/2020,South Africa,1861,77,667049,16283,11477,511,22611,1018
9/25/2020,South Africa,1480,29,668529,16312,10902,455,22131,934
9/26/2020,South Africa,969,64,669498,16376,9842,436,21284,949
9/27/2020,South Africa,1268,22,670766,16398,9555,445,20973,951
9/28/2020,South Africa,903,188,671669,16586,9733,594,20920,1087
9/29/2020,South Africa,903,81,672572,16667,9290,549,21051,1026
